"","Individual","WGS","chip","typed","imputed","match.t","match.i"
"179","HG00376","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"180","HG00378","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"181","HG00379","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"182","HG00380","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"183","HG00381","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"184","HG00382","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"185","HG00383","H","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"186","HG00384","U","InfiniumOmniExpressExome-8v1-4_A1-b37","U","U",TRUE,TRUE
"187","HG00403","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"188","HG00404","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"189","HG00406","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"190","HG00407","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"191","HG00409","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"192","HG00410","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"193","HG00419","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"194","HG00421","D4","InfiniumOmniExpressExome-8v1-4_A1-b37","D4","D4",TRUE,TRUE
"195","HG00422","N","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",TRUE,TRUE
"196","HG00428","C","InfiniumOmniExpressExome-8v1-4_A1-b37","C","C",TRUE,TRUE
"197","HG00436","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"198","HG00437","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"199","HG00442","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"200","HG00443","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"201","HG00445","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"202","HG00446","B4b'd'e","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"203","HG00448","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"204","HG00449","L3","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",TRUE,TRUE
"205","HG00451","A","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"206","HG00452","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"207","HG00457","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"208","HG00458","B5","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"209","HG00463","M","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
"210","HG00464","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"211","HG00472","R","InfiniumOmniExpressExome-8v1-4_A1-b37","N","N",FALSE,FALSE
"212","HG00473","D","InfiniumOmniExpressExome-8v1-4_A1-b37","L3","L3",FALSE,FALSE
