chip,A,A2,B2,B4b'd'e,B5,C,D,D1,D4,H,H2,H2a,H2a2a,HV,I,J,JT,K,K1,L0,L1,L1b,L2,L2'3'4'5'6,L3,L3'4,M,N,R,T,T1,U,U8b,unclassified,V,W,X2
human660w-quad_v1_h-b37,0.2,0.915966386554622,1,1,1,1,0.888888888888889,0.0869565217391304,0.961038961038961,1,1,1,0,0.67741935483871,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.661157024793388,0.893617021276596,1,1,1,0,0.9375,1,0
Human670-QuadCustom_v1_A-b37,0.2,0.907563025210084,1,1,1,1,0.851851851851852,0.0869565217391304,0.961038961038961,1,1,1,0,0.645161290322581,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,0.733333333333333,0.997518610421836,1,0.669421487603306,0.893617021276596,1,1,1,0,0.9375,1,0
HumanCore-12-v1-0-B-b37,0.45,0.899159663865546,0.130434782608696,0,0.906976744186046,1,0.925925925925926,0.0434782608695652,0.974025974025974,0.961038961038961,0,1,0,0,1,0.978723404255319,0,0.857142857142857,0.962962962962963,1,0.978260869565217,1,0.977678571428571,1,0.929328621908127,0.733333333333333,0.935483870967742,0.822222222222222,0.648760330578512,0.893617021276596,1,0.994475138121547,1,0,1,1,0
humancore-12v1-0_a-b37,0.45,0.899159663865546,0.130434782608696,0,0.906976744186046,1,0.925925925925926,0.0434782608695652,0.974025974025974,0.961038961038961,0,1,0,0,1,0.978723404255319,0,0.857142857142857,0.962962962962963,1,0.978260869565217,1,0.977678571428571,1,0.929328621908127,0.733333333333333,0.935483870967742,0.822222222222222,0.648760330578512,0.893617021276596,1,0.994475138121547,1,0,1,1,0
humancore-24-v1-0-manifest-file-a-b37,0.45,0.899159663865546,0.130434782608696,0,0.883720930232558,1,0.925925925925926,0.0434782608695652,0.974025974025974,0.961038961038961,0,1,0,0,1,0.978723404255319,0,0.857142857142857,0.962962962962963,1,0.978260869565217,1,0.977678571428571,1,0.929328621908127,0.733333333333333,0.937965260545906,0.822222222222222,0.640495867768595,0.893617021276596,1,0.994475138121547,1,0,1,1,0
HumanCoreExome-12-v1-0-D-b37,0.45,0.899159663865546,1,0,1,1,0.666666666666667,0,1,1,1,1,1,0.967741935483871,1,1,1,1,1,1,0.978260869565217,1,1,1,0.992932862190813,1,0.98014888337469,1,1,0.893617021276596,1,1,1,0,0.9375,1,0
HumanCoreExome-12-v1-1-C-b37,0.25,0.907563025210084,1,0,1,1,0.777777777777778,0,1,0.995670995670996,1,1,1,0.741935483870968,1,1,1,1,1,1,0.978260869565217,1,0.995535714285714,1,0.992932862190813,1,0.977667493796526,1,0.830578512396694,0.893617021276596,1,1,1,0,0.9375,1,0
HumanCoreExome-12v1-0_B-b37,0.45,0.899159663865546,1,0,1,1,0.666666666666667,0,1,1,1,1,1,0.967741935483871,1,1,1,1,1,1,0.978260869565217,1,1,1,0.989399293286219,1,0.98014888337469,1,1,0.893617021276596,1,1,1,0,0.9375,1,0
humancoreexome-12v1-0_c-b37,0.45,0.899159663865546,1,0,1,1,0.666666666666667,0,1,1,1,1,1,0.967741935483871,1,1,1,1,1,1,0.978260869565217,1,1,1,0.989399293286219,1,0.98014888337469,1,1,0.893617021276596,1,1,1,0,0.9375,1,0
humancoreexome-12v1-1_a-b37,0.25,0.907563025210084,1,0,1,1,0.851851851851852,0,1,0.995670995670996,1,1,1,0.709677419354839,1,1,1,1,1,1,0.978260869565217,1,0.995535714285714,1,0.992932862190813,1,0.98014888337469,1,0.830578512396694,0.893617021276596,1,1,1,0,0.9375,1,0
HumanCoreExome-12v1-1_B-b37,0.25,0.907563025210084,1,0,1,1,0.851851851851852,0,1,0.995670995670996,1,1,1,0.709677419354839,1,1,1,1,1,1,0.978260869565217,1,0.995535714285714,1,0.992932862190813,1,0.98014888337469,1,0.830578512396694,0.893617021276596,1,1,1,0,0.9375,1,0
HumanCoreExome-24v1-0_A-b37,0.25,0.915966386554622,0.0434782608695652,0,0.976744186046512,1,0.962962962962963,0.130434782608696,0.961038961038961,0.995670995670996,1,1,1,0.580645161290323,1,1,0,0.857142857142857,0.962962962962963,1,0.978260869565217,1,1,1,0.939929328621908,1,0.977667493796526,0.777777777777778,0.793388429752066,0.872340425531915,1,1,1,0,0.9375,1,0
HumanExome-12v1_A-b37,0.9,0.0420168067226891,0.956521739130435,0,0.883720930232558,1,0.0740740740740741,0,1,1,0,0.875,1,1,1,1,1,1,1,1,0.978260869565217,1,1,0.333333333333333,0.943462897526502,1,0.995037220843672,0.444444444444444,0.632231404958678,0.957446808510638,0,1,0,0,0.9375,1,0
HumanExome-12v1-1_A-b37,0.05,0.0420168067226891,0.956521739130435,0,0.883720930232558,1,0.62962962962963,0,1,1,0,1,1,1,1,1,1,1,1,1,0.978260869565217,1,1,0,0.946996466431095,0.8,0.997518610421836,0.911111111111111,0.590909090909091,0.957446808510638,0,1,0,0,0.9375,1,0
HumanExome-12v1-2_A-b37,0.05,0.0420168067226891,0.978260869565217,0,0.883720930232558,1,0,0,1,1,0,0.875,1,0.032258064516129,1,1,1,1,1,1,0.978260869565217,1,0.995535714285714,0.333333333333333,0.826855123674912,1,0.997518610421836,0.688888888888889,0.84297520661157,0.957446808510638,0,1,0,0,0.9375,1,0
HumanHap550-2v3_B-b37,0.2,0.907563025210084,1,1,1,1,0.777777777777778,0,1,1,1,1,0,1,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.996466431095406,1,0.997518610421836,1,1,0.893617021276596,1,0.994475138121547,1,0,0.9375,1,0
HumanHap550v3_A-b37,0.2,0.907563025210084,1,1,1,1,0.777777777777778,0,1,1,1,1,0,1,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.996466431095406,1,0.997518610421836,1,1,0.893617021276596,1,0.994475138121547,1,0,0.9375,1,0
HumanHap650Yv3_A-b37,0.2,0.907563025210084,1,1,1,1,0.777777777777778,0,1,1,1,1,0,1,1,0.978723404255319,1,1,1,1,0.978260869565217,1,1,1,0.996466431095406,1,0.997518610421836,1,1,0.893617021276596,1,0.994475138121547,1,0,0.9375,1,0
HumanOmni1-Quad_v1-0_B-b37,0,0,0,0,0,0,0,0,0,0.0952380952380952,0,1,0,0.870967741935484,0,0.702127659574468,0,0,1,1,0.978260869565217,0,0.633928571428571,0,0.15547703180212,0,0.992555831265509,0,0.446280991735537,0.936170212765957,0.875,1,0,0,0,0,0
HumanOmni1-Quad_v1-0_C-b37,0,0,0,0,0,0,0,0,0,0.0952380952380952,0,1,0,0.870967741935484,0,0.702127659574468,0,0,1,1,0.978260869565217,0,0.633928571428571,0,0.15547703180212,0,0.992555831265509,0,0.446280991735537,0.936170212765957,0.875,1,0,0,0,0,0
HumanOmni1-Quad_v1-0_H-b37,0,0,0,0,0,0,0,0,0,0.0865800865800866,0,1,0,0.838709677419355,0,0.702127659574468,0,0,1,1,0.978260869565217,0,0.633928571428571,0,0.15547703180212,0,0.990074441687345,0,0.450413223140496,0.936170212765957,0.875,1,0,0,0,0,0
humanomni1-quad_v1-0-multi_h-b37,0,0,0,0,0,0,0,0,0,0.0865800865800866,0,1,0,0.838709677419355,0,0.702127659574468,0,0,1,1,0.978260869565217,0,0.633928571428571,0,0.15547703180212,0,0.990074441687345,0,0.450413223140496,0.936170212765957,0.875,1,0,0,0,0,0
HumanOmni1S-8v1_H-b37,0.2,0.899159663865546,1,1,0.976744186046512,1,0.888888888888889,0,1,1,0,1,0,0.806451612903226,1,1,1,1,1,1,0.978260869565217,1,0.763392857142857,1,0.943462897526502,0.733333333333333,0.997518610421836,1,0.586776859504132,0.893617021276596,1,1,0,0,0,1,0
HumanOmni2-5-8-v1-0-D-b37,0.35,0.865546218487395,1,1,1,1,0.740740740740741,0,1,0.995670995670996,0,1,0,0.903225806451613,1,1,1,1,1,1,0.978260869565217,1,0.924107142857143,1,0.968197879858657,0.733333333333333,1,0.977777777777778,0.785123966942149,0.659574468085106,1,1,1,0,0.9375,0.96,0
HumanOmni2-5-8-v1-1-C-b37,0.2,0.882352941176471,1,0.928571428571429,0.953488372093023,1,0.777777777777778,0,1,0.991341991341991,0,1,0,0.838709677419355,1,1,1,1,1,1,0.978260869565217,1,0.924107142857143,1,0.946996466431095,0.733333333333333,1,1,0.785123966942149,0.936170212765957,1,1,1,0,0.9375,1,0
HumanOmni2-5-8-v1-2-A-b37,0.75,0.0672268907563025,1,1,0,1,0.962962962962963,0,1,0.995670995670996,0,1,0,0,0,1,0,0,1,1,0.978260869565217,1,0.959821428571429,0.555555555555556,0.911660777385159,0.733333333333333,1,0.755555555555556,0.942148760330578,0.936170212765957,0.25,1,1,0,0.9375,0,0
HumanOmni2-5Exome-8-v1-1-A-b37,0.15,0.890756302521008,1,1,0.930232558139535,1,0.666666666666667,0.0869565217391304,0.961038961038961,1,0,1,1,0.193548387096774,1,0.978723404255319,1,1,1,1,0.978260869565217,1,0.995535714285714,1,0.971731448763251,1,1,0.955555555555556,0.966942148760331,0.893617021276596,1,1,1,0,0.9375,1,0
HumanOmni2.5-4v1_B-b37,0.2,0.899159663865546,1,1,0.976744186046512,1,0.925925925925926,0,1,1,0,1,0,0.806451612903226,1,1,1,1,1,1,0.978260869565217,1,0.763392857142857,1,0.939929328621908,0.733333333333333,0.997518610421836,1,0.590909090909091,0.893617021276596,1,1,0,0,0,1,0
