sample,wgs,wgs_meta,typed,imputed,typed_meta,imputed_meta,typed_match,typed_meta_match,imputed_match,imputed_meta_match
ADNI_0697,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0698,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0702,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0709,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0717,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0722,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0729,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0731,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0734,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_0741,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0746,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0752,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0767,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0770,R,R,R,HV,R,HV,TRUE,TRUE,FALSE,FALSE
ADNI_0778,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0800,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0802,K1,K,K1,K1,K,K,TRUE,TRUE,TRUE,TRUE
ADNI_0813,T,T,T,T,T,T,TRUE,TRUE,TRUE,TRUE
ADNI_0824,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0830,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0832,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
ADNI_0834,U,U,U,U,U,U,TRUE,TRUE,TRUE,TRUE
ADNI_0835,V,V,R,V,R,V,FALSE,FALSE,TRUE,TRUE
ADNI_0842,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0843,N1a1b,N,L3'4,N1a1b,L3,N,FALSE,FALSE,TRUE,TRUE
ADNI_0845,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0863,H,H,R,H,R,H,FALSE,FALSE,TRUE,TRUE
ADNI_0867,J,J,L3'4,J,L3,J,FALSE,FALSE,TRUE,TRUE
