seqID,Country
AY339451.1,NA
AY339452.1,NA
AY339453.1,NA
AY339454.1,NA
AY339455.1,NA
AY339456.1,NA
AY339457.1,NA
AY339458.1,NA
AY339459.1,NA
AY339460.2,NA
AY339461.2,NA
AY339462.2,NA
AY339463.2,NA
AY339464.2,NA
AY339465.2,NA
AY339466.2,NA
AY339467.2,NA
AY339468.2,NA
AY339469.2,NA
AY339470.2,NA
AY339471.1,NA
AY339472.2,NA
AY339473.2,NA
AY339474.2,NA
AY339475.2,NA
AY339476.2,NA
AY339477.2,NA
AY339478.2,NA
AY339479.2,NA
AY339480.2,NA
AY339481.2,NA
AY339482.2,NA
AY339483.2,NA
AY339484.2,NA
AY339485.2,NA
AY339486.2,NA
AY339487.2,NA
AY339488.2,NA
AY339489.2,NA
AY339490.2,NA
AY339491.2,NA
AY339492.2,NA
AY339493.2,NA
AY339494.2,NA
AY339495.2,NA
AY339496.2,NA
AY339497.2,NA
AY339502.1,NA
AY339503.2,NA
AY339504.2,NA
AY339505.1,NA
AY339506.2,NA
AY339507.2,NA
AY339508.2,NA
AY339509.2,NA
AY339510.2,NA
AY339511.2,NA
AY339512.2,NA
AY339513.2,NA
AY339514.1,NA
AY339515.1,NA
AY339516.1,NA
AY339517.1,NA
AY339518.1,NA
AY339519.1,NA
AY339520.1,NA
AY339521.1,NA
AY339522.2,NA
AY339523.1,NA
AY339524.1,NA
AY339525.1,NA
AY339526.1,NA
AY339527.1,NA
AY339528.1,NA
AY339529.2,NA
AY339530.1,NA
AY339531.1,NA
AY339532.1,NA
AY339533.1,NA
AY339534.1,NA
AY339535.1,NA
AY339536.1,NA
AY339537.1,NA
AY339538.1,NA
AY339539.1,NA
AY339540.1,NA
AY339541.1,NA
AY339542.1,NA
AY339543.1,NA
AY339544.1,NA
AY339545.1,NA
AY339546.1,NA
AY339547.1,NA
AY339548.1,NA
AY339549.1,NA
AY339550.1,NA
AY339551.1,NA
AY339552.1,NA
AY339553.1,NA
AY339554.2,NA
AY339555.2,NA
AY339556.2,NA
AY339557.2,NA
AY339558.2,NA
AY339559.2,NA
AY339560.2,NA
AY339561.2,NA
AY339562.2,NA
AY339563.2,NA
AY339564.2,NA
AY339565.2,NA
AY339566.1,NA
AY339567.1,NA
AY339568.1,NA
AY339570.1,NA
AY339571.1,NA
AY339572.1,NA
AY339573.1,NA
AY339574.1,NA
AY339575.1,NA
AY339576.1,NA
AY339577.1,NA
AY339578.1,NA
AY339579.1,NA
AY339580.1,NA
AY339581.2,NA
AY339582.1,NA
AY339583.1,NA
AY339584.1,NA
AY339585.1,NA
AY339586.1,NA
AY339587.1,NA
AY339588.1,NA
AY339589.1,NA
AY339590.1,NA
AY339591.1,NA
AY339592.1,NA
AY339593.1,NA
AY495090.1,NA
AY495091.1,NA
AY495092.1,NA
AY495093.1,NA
AY495094.1,NA
AY495095.1,NA
AY495096.1,NA
AY495097.1,NA
AY495098.1,NA
AY495099.1,NA
AY495100.1,NA
AY495101.1,NA
AY495102.1,NA
AY495103.1,NA
AY495104.1,NA
AY495105.2,NA
AY495106.2,NA
AY495107.1,NA
AY495108.1,NA
AY495109.1,NA
AY495110.1,NA
AY495111.1,NA
AY495112.1,NA
AY495113.1,NA
AY495114.1,NA
AY495115.1,NA
AY495116.1,NA
AY495117.1,NA
AY495118.1,NA
AY495119.1,NA
AY495120.1,NA
AY495121.1,NA
AY495122.1,NA
AY495123.2,NA
AY495124.1,NA
AY495125.1,NA
AY495126.1,NA
AY495127.2,NA
AY495128.2,NA
AY495129.1,NA
AY495130.1,NA
AY495131.1,NA
AY495132.1,NA
AY495133.1,NA
AY495134.1,NA
AY495135.1,NA
AY495136.1,NA
AY495137.1,NA
AY495138.1,NA
AY495139.1,NA
AY495140.1,NA
AY495141.1,NA
AY495142.1,NA
AY495143.2,NA
AY495144.1,NA
AY495145.2,NA
AY495146.1,NA
AY495147.1,NA
AY495148.1,NA
AY495149.1,NA
AY495150.1,NA
AY495151.1,NA
AY495152.1,NA
AY495153.1,NA
AY495154.1,NA
AY495155.1,NA
AY495156.2,NA
AY495157.1,NA
AY495158.1,NA
AY495159.1,NA
AY495160.1,NA
AY495161.1,NA
AY495162.1,NA
AY495163.1,NA
AY495164.1,NA
AY495165.1,NA
AY495166.1,NA
AY495167.1,NA
