array,MAF,imputed,mean.info,SNP.Ref.Only,SNP.Ref.Samp,SNP.Samp.Only,TOTAL,Retained.After.Filt,Typed.hg.Conc,Imputed.hg.Conc
Cardio-Metabo_Chip_11395247_A-b37,0.05,TRUE,0.641821585903084,327,100,27,454,345,0.616022099447514,0.911207576953433
cardio-metabo_chip_11395247_c-b37,0.05,TRUE,0.642235682819383,327,100,27,454,345,0.616022099447514,0.911602209944751
CVDSNP55v1_A-b37,0.05,FALSE,NA,NA,NA,NA,NA,NA,NA,NA
PsychArray_A-b37,0.05,TRUE,0.823393890675241,306,121,195,622,566,0.552486187845304,0.889108129439621
PsychArray-B-b37,0.05,TRUE,0.823435691318328,306,121,195,622,566,0.552486187845304,0.888713496448303
InfiniumPsychArray-24v1-1_A1-b37,0.05,TRUE,0.825676236044657,308,119,200,627,573,0.461325966850829,0.875690607734807
InfiniumPsychArray-24v1-2_A1-b37,0.05,TRUE,0.848645608628659,293,134,222,649,607,0.539068666140489,0.935674822415154
InfiniumPsychArray-24v1-2_A2-b37,0.05,TRUE,0.84871032357473,293,134,222,649,606,0.539068666140489,0.936858721389108
PsychChip_15048346_B-b37,0.05,TRUE,0.85435626911315,287,140,227,654,609,0.63930544593528,0.949881610102605
PsychChip_v1-1_15073391_A1-b37,0.05,TRUE,0.863899848254932,277,150,232,659,619,0.642067876874507,0.960142067876875
GSAMD-24v1-0_20011747_A1-b37,0.05,TRUE,0.633930612244898,370,57,63,490,359,0.362273086029992,0.876085240726125
GSAMD-24v2-0_20024620_A1-b37,0.05,TRUE,0.957969953051643,140,287,638,1065,1046,0.867403314917127,0.991318074191002
GSA-24v1-0_A1-b37,0.05,TRUE,0.633292433537832,370,57,62,489,358,0.362273086029992,0.876085240726125
GSA-24v1-0_A2-b37,0.05,TRUE,0.632952965235174,370,57,62,489,357,0.362273086029992,0.876874506708761
GSA-24v1-0_A6-b37,0.05,TRUE,0.633061349693252,370,57,62,489,358,0.362273086029992,0.876874506708761
GSA-24v2-0_A1-b37,0.05,TRUE,0.932038775510204,208,219,553,980,949,0.803078137332281,0.986187845303867
GSCA-24v1-0_20010441_A1-b37,0.05,TRUE,0.633704081632653,370,57,63,490,359,0.362273086029992,0.877663772691397
OncoArray-500K_B-b37,0.05,TRUE,0.654074,376,51,73,500,385,0.589976322020521,0.942383583267561
OncoArray-500K-C-b37,0.05,TRUE,0.654316,376,51,73,500,384,0.589976322020521,0.943172849250197
